,New_project_source_CB,Carbon_bomb_name,Company,Percentage,Potential_GtCO2_source_CB,GtCO2_by_Company,Company_name,Company_Country
170,True,GAM Coal Mine,LG International,50.0,1.31552652,0.65776326,LG International,"Korea, Republic of"
171,False,Gachsaran,National Iranian Oil Company,100.0,1.739296877,1.739296877,National Iranian Oil Company,"Iran, Islamic Republic of"
172,True,Galilee Coal Mine,Mineralogy,100.0,1.81629,1.81629,,
173,False,Gaohe Coal Mine,Asian American Continental Coal Company,45.0,1.533939,0.69027255,Asian American Continental Coal Company,China
174,False,Gaohe Coal Mine,Lu'an Chemical Group,55.0,1.533939,0.84366645,,
175,False,Gaojiabao Coal Mine,Shandong Energy Co Ltd,100.0,1.1471196,1.1471196,Shandong Energy Co Ltd,China
176,False,Gaojialiang No.1 Coal Mine,Ordos Energy Investment and Development Company,20.0,2.012584728,0.40251694560000006,Ordos Energy Investment and Development Company,China
177,False,Gaojialiang No.1 Coal Mine,Others,29.0,2.012584728,0.58364957112,,
178,False,Gaojialiang No.1 Coal Mine,Shougang Group Co Ltd,1.0,2.012584728,0.02012584728,Shougang Group Co Ltd,China
179,False,Gaojialiang No.1 Coal Mine,Beijing Energy Holding Co Ltd,50.0,2.012584728,1.006292364,Beijing Energy Holding Co Ltd,China
180,False,Gaotouyao Coal Mine,China Energy Investment Corp Ltd,4.0,1.870537152,0.07482148608,China Energy Investment Corp Ltd,China
181,False,Gaotouyao Coal Mine,Guangdong Hengjian Investment Holding Co Ltd,7.0,1.870537152,0.13093760063999998,Guangdong Hengjian Investment Holding Co Ltd,China
182,False,Gaotouyao Coal Mine,Others,12.0,1.870537152,0.22446445824000003,,
183,False,Gaotouyao Coal Mine,China Huaneng Group Co Ltd,77.0,1.870537152,1.44031360704,China Huaneng Group Co Ltd,China
184,True,Gare Pelma Sector II,Maharashtra State Power Generation Company Limited,100.0,1.3103,1.3103,,India
185,False,Garzweiler Coal Mine,RWE Power,100.0,1.32209,1.32209,RWE Power,Germany
186,False,Gazprom dobycha Nadym,Gazprom PJSC,100.0,1.286567712,1.286567712,Gazprom PJSC,Russia
187,False,Gazprom dobycha Orenburg,Gazprom PJSC,100.0,1.593313222,1.593313222,Gazprom PJSC,Russia
188,False,Gazprom dobycha Yamburg,Gazprom PJSC,100.0,8.863793695,8.863793695,Gazprom PJSC,Russia
