Parent_Company GEM,BOCC_company_name,total_potential_emissions,Proposition BOCC,Niveau de confiance (1 - 3 sur),Respo,checked (1),Justification ,Comment
Qinghai Investment Group,,"0,29274",,,Personne 3,,,
Asian American Continental Coal Company,Banpu PCL,"0,2916",Banpu PCL,3,Personne 3,,https://www.banpu.com/wp-content/uploads/2020/10/web_investor_present_BlrfGbBQAi133237.pdf,acquis par banpu
Xinjiang Shenxin Development Company,,"0,28944",,,Personne 3,,,
JFE Steel,,"0,27615",,,Personne 3,,https://en.wikipedia.org/wiki/JFE_Steel,
Inner Mongolia Coal Field Geological Bureau,,"0,2702",,,Personne 3,,,
Inner Mongolia Guanglian Minzu Economic Development Company,,"0,2702",,,Personne 3,,,
Inner Mongolia Huolinhe Coal Industry Group,,"0,269945616",,,Personne 3,,,
Magnetic South,,"0,264",,,Personne 3,,,
Shaanxi Coal and Chemical Group,Shaanxi Coal & Chemical Industry Group,"0,2592",Shaanxi Coal & Chemical Industry Group,3,Personne 3,,,
Xi'an Yangtian Industrial Company,,"0,259",,,Personne 3,,,
Yulin State-Owned Asset Operation and Management Company,Yulin City Investment Operation Group,"0,2564",Yulin City Investment Operation Group,1,Personne 3,,,
Suala Holding Ltd,,"0,246",,,Personne 3,,,
POSCO,POSCO Holdings,"0,29368",,,,,,
Sinopec Group,China Petrochemical,"0,242",China Petrochemical,3,Personne 3,,https://fr.wikipedia.org/wiki/Sinopec,
Chaoyang Hongwen Investment Company,,"0,23716",,,Personne 3,,,
Ningxia State-Owned Capital Operation Group Compay,,"0,23496",,,Personne 3,,,
Shanxi Huayang Group,,"0,2336865",,,Personne 3,,,
Mengfa Energy Holding Group,,"0,232",,,Personne 3,,,
Donugol JSC,,"0,226",,,Personne 3,,,
Indo Bara Pratama,,"0,218",,,Personne 3,,,
Yangcheng County Yangtai Group,Yangcheng County Yangtai Group Industrial,"0,21777",Yangcheng County Yangtai Group Industrial,3,Personne 3,,,
Banpu,Banpu PCL,"0,215",Banpu PCL,3,Personne 3,,,
South Coal Company LLC,,"0,205",,,Personne 3,,,
