Series_Title,Released_Year,IMDB_Rating,Director,Star1,Star2,Star3,Star4,No_of_Votes
Vivre sa vie: Film en douze tableaux,1962,8.0,Jean-Luc Godard,Anna Karina,Sady Rebbot,André S. Labarthe,Guylaine Schlumberger,28057
The Hustler,1961,8.0,Robert Rossen,Paul Newman,Jackie Gleason,Piper Laurie,George C. Scott,75067
La dolce vita,1960,8.0,Federico Fellini,Marcello Mastroianni,Anita Ekberg,Anouk Aimée,Yvonne Furneaux,66621
Rio Bravo,1959,8.0,Howard Hawks,John Wayne,Dean Martin,Ricky Nelson,Angie Dickinson,56305
Anatomy of a Murder,1959,8.0,Otto Preminger,James Stewart,Lee Remick,Ben Gazzara,Arthur O'Connell,59847
Touch of Evil,1958,8.0,Orson Welles,Charlton Heston,Orson Welles,Janet Leigh,Joseph Calleia,98431
Cat on a Hot Tin Roof,1958,8.0,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,Jack Carson,45062
Sweet Smell of Success,1957,8.0,Alexander Mackendrick,Burt Lancaster,Tony Curtis,Susan Harrison,Martin Milner,28137
The Killing,1956,8.0,Stanley Kubrick,Sterling Hayden,Coleen Gray,Vince Edwards,Jay C. Flippen,81702
The Night of the Hunter,1955,8.0,Charles Laughton,Robert Mitchum,Shelley Winters,Lillian Gish,James Gleason,81980
La Strada,1954,8.0,Federico Fellini,Anthony Quinn,Giulietta Masina,Richard Basehart,Aldo Silvani,58314
Les diaboliques,1955,8.0,Henri-Georges Clouzot,Simone Signoret,Véra Clouzot,Paul Meurisse,Charles Vanel,61503
Stalag 17,1953,8.0,Billy Wilder,William Holden,Don Taylor,Otto Preminger,Robert Strauss,51046
Roman Holiday,1953,8.0,William Wyler,Gregory Peck,Audrey Hepburn,Eddie Albert,Hartley Power,127256
A Streetcar Named Desire,1951,8.0,Elia Kazan,Vivien Leigh,Marlon Brando,Kim Hunter,Karl Malden,99182
In a Lonely Place,1950,8.0,Nicholas Ray,Humphrey Bogart,Gloria Grahame,Frank Lovejoy,Carl Benton Reid,26784
Kind Hearts and Coronets,1949,8.0,Robert Hamer,Dennis Price,Alec Guinness,Valerie Hobson,Joan Greenwood,34485
Rope,1948,8.0,Alfred Hitchcock,James Stewart,John Dall,Farley Granger,Dick Hogan,129783
Out of the Past,1947,8.0,Jacques Tourneur,Robert Mitchum,Jane Greer,Kirk Douglas,Rhonda Fleming,32784
Brief Encounter,1945,8.0,David Lean,Celia Johnson,Trevor Howard,Stanley Holloway,Joyce Carey,35601
Laura,1944,8.0,Otto Preminger,Gene Tierney,Dana Andrews,Clifton Webb,Vincent Price,42725
The Best Years of Our Lives,1946,8.0,William Wyler,Myrna Loy,Dana Andrews,Fredric March,Teresa Wright,57259
Arsenic and Old Lace,1942,8.0,Frank Capra,Cary Grant,Priscilla Lane,Raymond Massey,Jack Carson,65101
The Maltese Falcon,1941,8.0,John Huston,Humphrey Bogart,Mary Astor,Gladys George,Peter Lorre,148928
The Grapes of Wrath,1940,8.0,John Ford,Henry Fonda,Jane Darwell,John Carradine,Charley Grapewin,85559
The Wizard of Oz,1939,8.0,Victor Fleming,George Cukor,Mervyn LeRoy,Norman Taurog,Richard Thorpe,371379
La règle du jeu,1939,8.0,Jean Renoir,Marcel Dalio,Nora Gregor,Paulette Dubost,Mila Parély,26725
The Thin Man,1934,8.0,W.S. Van Dyke,William Powell,Myrna Loy,Maureen O'Sullivan,Nat Pendleton,26642
All Quiet on the Western Front,1930,8.0,Lewis Milestone,Lew Ayres,Louis Wolheim,John Wray,Arnold Lucy,57318
Bronenosets Potemkin,1925,8.0,Sergei M. Eisenstein,Aleksandr Antonov,Vladimir Barskiy,Grigoriy Aleksandrov,Ivan Bobrov,53054
Knives Out,2019,7.9,Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis,454203
Dil Bechara,2020,7.9,Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid,Saswata Chatterjee,111478
Manbiki kazoku,2018,7.9,Hirokazu Koreeda,Lily Franky,Sakura Andô,Kirin Kiki,Mayu Matsuoka,62754
Marriage Story,2019,7.9,Noah Baumbach,Adam Driver,Scarlett Johansson,Julia Greer,Azhy Robertson,246644
Call Me by Your Name,2017,7.9,Luca Guadagnino,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar,212651
"I, Daniel Blake",2016,7.9,Ken Loach,Laura Obiols,Dave Johns,Hayley Squires,Sharon Percy,53818
Isle of Dogs,2018,7.9,Wes Anderson,Bryan Cranston,Koyu Rankin,Edward Norton,Bob Balaban,139114
Hunt for the Wilderpeople,2016,7.9,Taika Waititi,Sam Neill,Julian Dennison,Rima Te Wiata,Rachel House,111483
Captain Fantastic,2016,7.9,Matt Ross,Viggo Mortensen,George MacKay,Samantha Isler,Annalise Basso,189400
Sing Street,2016,7.9,John Carney,Ferdia Walsh-Peelo,Aidan Gillen,Maria Doyle Kennedy,Jack Reynor,85109
Thor: Ragnarok,2017,7.9,Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,587775
Nightcrawler,2014,7.9,Dan Gilroy,Jake Gyllenhaal,Rene Russo,Bill Paxton,Riz Ahmed,466134
Jojo Rabbit,2019,7.9,Taika Waititi,Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson,Taika Waititi,297918
Arrival,2016,7.9,Denis Villeneuve,Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,594181
Star Wars: Episode VII - The Force Awakens,2015,7.9,J.J. Abrams,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson,860823
Before Midnight,2013,7.9,Richard Linklater,Ethan Hawke,Julie Delpy,Seamus Davey-Fitzpatrick,Ariane Labed,141457
X-Men: Days of Future Past,2014,7.9,Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy,659763
Bir Zamanlar Anadolu'da,2011,7.9,Nuri Bilge Ceylan,Muhammet Uzuner,Yilmaz Erdogan,Taner Birsel,Ahmet Mümtaz Taylan,41995
The Artist,2011,7.9,Michel Hazanavicius,Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell,230624
Edge of Tomorrow,2014,7.9,Doug Liman,Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson,600004
Amour,2012,7.9,Michael Haneke,Jean-Louis Trintignant,Emmanuelle Riva,Isabelle Huppert,Alexandre Tharaud,93090
The Irishman,2019,7.9,Martin Scorsese,Robert De Niro,Al Pacino,Joe Pesci,Harvey Keitel,324720
Un prophète,2009,7.9,Jacques Audiard,Tahar Rahim,Niels Arestrup,Adel Bencherif,Reda Kateb,93560
Moon,2009,7.9,Duncan Jones,Sam Rockwell,Kevin Spacey,Dominique McElligott,Rosie Shaw,335152
Låt den rätte komma in,2008,7.9,Tomas Alfredson,Kåre Hedebrant,Lina Leandersson,Per Ragnar,Henrik Dahl,205609
District 9,2009,7.9,Neill Blomkamp,Sharlto Copley,David James,Jason Cope,Nathalie Boltt,638202
The Wrestler,2008,7.9,Darren Aronofsky,Mickey Rourke,Marisa Tomei,Evan Rachel Wood,Mark Margolis,289415
Jab We Met,2007,7.9,Imtiaz Ali,Shahid Kapoor,Kareena Kapoor,Tarun Arora,Dara Singh,47720
Boyhood,2014,7.9,Richard Linklater,Ellar Coltrane,Patricia Arquette,Ethan Hawke,Elijah Smith,335533
"4 luni, 3 saptamâni si 2 zile",2007,7.9,Cristian Mungiu,Anamaria Marinca,Laura Vasiliu,Vlad Ivanov,Alexandru Potocean,56625
Star Trek,2009,7.9,J.J. Abrams,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy,577336
In Bruges,2008,7.9,Martin McDonagh,Colin Farrell,Brendan Gleeson,Ciarán Hinds,Elizabeth Berrington,390334
The Man from Earth,2007,7.9,Richard Schenkman,David Lee Smith,Tony Todd,John Billingsley,Ellen Crawford,174125
Letters from Iwo Jima,2006,7.9,Clint Eastwood,Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryô Kase,154011
The Fall,2006,7.9,Tarsem Singh,Lee Pace,Catinca Untaru,Justine Waddell,Kim Uylenbroek,107290
Life of Pi,2012,7.9,Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Tabu,580708
Fantastic Mr. Fox,2009,7.9,Wes Anderson,George Clooney,Meryl Streep,Bill Murray,Jason Schwartzman,199696
C.R.A.Z.Y.,2005,7.9,Jean-Marc Vallée,Michel Côté,Marc-André Grondin,Danielle Proulx,Émile Vallée,31476
Les choristes,2004,7.9,Christophe Barratier,Gérard Jugnot,François Berléand,Jean-Baptiste Maunier,Kad Merad,57430
Iron Man,2008,7.9,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,939644
Shaun of the Dead,2004,7.9,Edgar Wright,Simon Pegg,Nick Frost,Kate Ashfield,Lucy Davis,512249
Gegen die Wand,2004,7.9,Fatih Akin,Birol Ünel,Sibel Kekilli,Güven Kiraç,Zarah Jane McKenzie,51325
Mystic River,2003,7.9,Clint Eastwood,Sean Penn,Tim Robbins,Kevin Bacon,Emmy Rossum,419420
Harry Potter and the Prisoner of Azkaban,2004,7.9,Alfonso Cuarón,Daniel Radcliffe,Emma Watson,Rupert Grint,Richard Griffiths,552493
Ying xiong,2002,7.9,Yimou Zhang,Jet Li,Tony Chiu-Wai Leung,Maggie Cheung,Ziyi Zhang,173999
Hable con ella,2002,7.9,Pedro Almodóvar,Rosario Flores,Javier Cámara,Darío Grandinetti,Leonor Watling,104691
No Man's Land,2001,7.9,Danis Tanovic,Branko Djuric,Rene Bitorajac,Filip Sovagovic,Georges Siatidis,44618
Cowboy Bebop: Tengoku no tobira,2001,7.9,Shin'ichirô Watanabe,Tensai Okamura,Hiroyuki Okiura,Yoshiyuki Takei,Beau Billingslea,42897
The Bourne Identity,2002,7.9,Doug Liman,Franka Potente,Matt Damon,Chris Cooper,Clive Owen,508771
Nueve reinas,2000,7.9,Fabián Bielinsky,Ricardo Darín,Gastón Pauls,Graciela Tenenbaum,María Mercedes Villagra,49721
Children of Men,2006,7.9,Alfonso Cuarón,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine,465113
Almost Famous,2000,7.9,Cameron Crowe,Billy Crudup,Patrick Fugit,Kate Hudson,Frances McDormand,252586
Mulholland Dr.,2001,7.9,David Lynch,Naomi Watts,Laura Harring,Justin Theroux,Jeanne Bates,322031
Toy Story 2,1999,7.9,John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen,527512
Boogie Nights,1997,7.9,Paul Thomas Anderson,Mark Wahlberg,Julianne Moore,Burt Reynolds,Luis Guzmán,239473
Mimi wo sumaseba,1995,7.9,Yoshifumi Kondô,Yoko Honna,Issey Takahashi,Takashi Tachibana,Shigeru Muroi,51943
Once Were Warriors,1994,7.9,Lee Tamahori,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga,31590
True Romance,1993,7.9,Tony Scott,Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,206918
Trois couleurs: Bleu,1993,7.9,Krzysztof Kieslowski,Juliette Binoche,Zbigniew Zamachowski,Julie Delpy,Benoît Régent,89836
Jûbê ninpûchô,1993,7.9,Yoshiaki Kawajiri,Kôichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka,34529
Carlito's Way,1993,7.9,Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo,201000
Edward Scissorhands,1990,7.9,Tim Burton,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,447368
My Left Foot: The Story of Christy Brown,1989,7.9,Jim Sheridan,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,Kirsten Sheridan,68076
Crimes and Misdemeanors,1989,7.9,Woody Allen,Martin Landau,Woody Allen,Bill Bernstein,Claire Bloom,54670
The Untouchables,1987,7.9,Brian De Palma,Kevin Costner,Sean Connery,Robert De Niro,Charles Martin Smith,281842
Hannah and Her Sisters,1986,7.9,Woody Allen,Mia Farrow,Dianne Wiest,Michael Caine,Barbara Hershey,67176
Brazil,1985,7.9,Terry Gilliam,Jonathan Pryce,Kim Greist,Robert De Niro,Katherine Helmond,187567
This Is Spinal Tap,1984,7.9,Rob Reiner,Rob Reiner,Michael McKean,Christopher Guest,Kimberly Stringer,128812
A Christmas Story,1983,7.9,Bob Clark,Peter Billingsley,Melinda Dillon,Darren McGavin,Scott Schwartz,132947
The Blues Brothers,1980,7.9,John Landis,John Belushi,Dan Aykroyd,Cab Calloway,John Candy,183182
Manhattan,1979,7.9,Woody Allen,Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy,131436
All That Jazz,1979,7.9,Bob Fosse,Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,28223
Dawn of the Dead,1978,7.9,George A. Romero,David Emge,Ken Foree,Scott H. Reiniger,Gaylen Ross,111512
All the President's Men,1976,7.9,Alan J. Pakula,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam,103031
La montaña sagrada,1973,7.9,Alejandro Jodorowsky,Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara,37183
Amarcord,1973,7.9,Federico Fellini,Magali Noël,Bruno Zanin,Pupella Maggio,Armando Brancia,39897
Le charme discret de la bourgeoisie,1972,7.9,Luis Buñuel,Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier,38737
"Aguirre, der Zorn Gottes",1972,7.9,Werner Herzog,Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro,52397
Harold and Maude,1971,7.9,Hal Ashby,Ruth Gordon,Bud Cort,Vivian Pickles,Cyril Cusack,70826
Patton,1970,7.9,Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong,93741
The Wild Bunch,1969,7.9,Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,77401
Night of the Living Dead,1968,7.9,George A. Romero,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman,116557
The Lion in Winter,1968,7.9,Anthony Harvey,Peter O'Toole,Katharine Hepburn,Anthony Hopkins,John Castle,29003
In the Heat of the Night,1967,7.9,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,67804
Charade,1963,7.9,Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn,68689
The Manchurian Candidate,1962,7.9,John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury,71122
Spartacus,1960,7.9,Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,124339
L'avventura,1960,7.9,Michelangelo Antonioni,Gabriele Ferzetti,Monica Vitti,Lea Massari,Dominique Blanchar,26542
Hiroshima mon amour,1959,7.9,Alain Resnais,Emmanuelle Riva,Eiji Okada,Stella Dassas,Pierre Barbaud,28421
The Ten Commandments,1956,7.9,Cecil B. DeMille,Charlton Heston,Yul Brynner,Anne Baxter,Edward G. Robinson,63560
The Searchers,1956,7.9,John Ford,John Wayne,Jeffrey Hunter,Vera Miles,Ward Bond,80316
East of Eden,1955,7.9,Elia Kazan,James Dean,Raymond Massey,Julie Harris,Burl Ives,40313
High Noon,1952,7.9,Fred Zinnemann,Gary Cooper,Grace Kelly,Thomas Mitchell,Lloyd Bridges,97222
Strangers on a Train,1951,7.9,Alfred Hitchcock,Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll,123341
Harvey,1950,7.9,Henry Koster,James Stewart,Wallace Ford,William H. Lynn,Victoria Horne,52573
Miracle on 34th Street,1947,7.9,George Seaton,Edmund Gwenn,Maureen O'Hara,John Payne,Gene Lockhart,41625
Notorious,1946,7.9,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern,92306
The Big Sleep,1946,7.9,Howard Hawks,Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers,78796
The Lost Weekend,1945,7.9,Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry,Howard Da Silva,33549
The Philadelphia Story,1940,7.9,George Cukor,Cary Grant,Katharine Hepburn,James Stewart,Ruth Hussey,63550
His Girl Friday,1940,7.9,Howard Hawks,Cary Grant,Rosalind Russell,Ralph Bellamy,Gene Lockhart,53667
The Adventures of Robin Hood,1938,7.9,Michael Curtiz,William Keighley,Errol Flynn,Olivia de Havilland,Basil Rathbone,47175
A Night at the Opera,1935,7.9,Sam Wood,Edmund Goulding,Groucho Marx,Chico Marx,Harpo Marx,30580
King Kong,1933,7.9,Merian C. Cooper,Ernest B. Schoedsack,Fay Wray,Robert Armstrong,Bruce Cabot,78991
Freaks,1932,7.9,Tod Browning,Wallace Ford,Leila Hyams,Olga Baclanova,Roscoe Ates,42117
Nosferatu,1922,7.9,F.W. Murnau,Max Schreck,Alexander Granach,Gustav von Wangenheim,Greta Schröder,88794
The Gentlemen,2019,7.8,Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,237392
Raazi,2018,7.8,Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma,25344
Sound of Metal,2019,7.8,Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Lauren Ridloff,27187
Forushande,2016,7.8,Asghar Farhadi,Shahab Hosseini,Taraneh Alidoosti,Babak Karimi,Mina Sadati,51240
Dunkirk,2017,7.8,Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,555092
Perfetti sconosciuti,2016,7.8,Paolo Genovese,Giuseppe Battiston,Anna Foglietta,Marco Giallini,Edoardo Leo,57168
Hidden Figures,2016,7.8,Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,200876
Paddington 2,2017,7.8,Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,61594
Udta Punjab,2016,7.8,Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor,Diljit Dosanjh,27175
Kubo and the Two Strings,2016,7.8,Travis Knight,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,118035
M.S. Dhoni: The Untold Story,2016,7.8,Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani,40416
Manchester by the Sea,2016,7.8,Kenneth Lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,246963
Under sandet,2015,7.8,Martin Zandvliet,Roland Møller,Louis Hofmann,Joel Basman,Mikkel Boe Følsgaard,35539
Rogue One,2016,7.8,Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,556608
Captain America: Civil War,2016,7.8,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,663649
The Hateful Eight,2015,7.8,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,517059
Little Women,2019,7.8,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,143250
Loving Vincent,2017,7.8,Dorota Kobiela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,50778
Pride,2014,7.8,Matthew Warchus,Bill Nighy,Imelda Staunton,Dominic West,Paddy Considine,51841
Le passé,2013,7.8,Asghar Farhadi,Bérénice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet,45002
La grande bellezza,2013,7.8,Paolo Sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso,81125
The Lunchbox,2013,7.8,Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,50523
Vicky Donor,2012,7.8,Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,39710
Big Hero 6,2014,7.8,Don Hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung,410983
About Time,2013,7.8,Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,303032
English Vinglish,2012,7.8,Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,33618
Kaze tachinu,2013,7.8,Hayao Miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura,73690
Toy Story 4,2019,7.8,Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,203177
La migliore offerta,2013,7.8,Giuseppe Tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,108399
Moonrise Kingdom,2012,7.8,Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,318789
How to Train Your Dragon 2,2014,7.8,Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,305611
The Big Short,2015,7.8,Adam McKay,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,362942
Kokuhaku,2010,7.8,Tetsuya Nakashima,Takako Matsu,Yoshino Kimura,Masaki Okada,Yukito Nishii,35713
Ang-ma-reul bo-at-da,2010,7.8,Jee-woon Kim,Lee Byung-Hun,Choi Min-sik,Jeon Gook-Hwan,Ho-jin Chun,111252
The Girl with the Dragon Tattoo,2011,7.8,David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,423010
Captain Phillips,2013,7.8,Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,421244
Ajeossi,2010,7.8,Jeong-beom Lee,Won Bin,Sae-ron Kim,Tae-hoon Kim,Hee-won Kim,62848
Straight Outta Compton,2015,7.8,F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,179264
Madeo,2009,7.8,Bong Joon Ho,Hye-ja Kim,Won Bin,Jin Goo,Je-mun Yun,52758
Chugyeokja,2008,7.8,Hong-jin Na,Kim Yoon-seok,Jung-woo Ha,Yeong-hie Seo,Yoo-Jeong Kim,58468
The Hobbit: The Desolation of Smaug,2013,7.8,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,601408
Das weiße Band - Eine deutsche Kindergeschichte,2009,7.8,Michael Haneke,Christian Friedel,Ernst Jacobi,Leonie Benesch,Ulrich Tukur,68715
Män som hatar kvinnor,2009,7.8,Niels Arden Oplev,Michael Nyqvist,Noomi Rapace,Ewa Fröling,Lena Endre,208994
The Trial of the Chicago 7,2020,7.8,Aaron Sorkin,Eddie Redmayne,Alex Sharp,Sacha Baron Cohen,Jeremy Strong,89896
Druk,2020,7.8,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Magnus Millang,Lars Ranthe,33931
The Fighter,2010,7.8,David O. Russell,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,340584
Taken,2008,7.8,Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,564791
The Boy in the Striped Pyjamas,2008,7.8,Mark Herman,Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien,190748
Once,2007,7.8,John Carney,Glen Hansard,Markéta Irglová,Hugh Walsh,Gerard Hendrick,110656
The Hobbit: An Unexpected Journey,2012,7.8,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,757377
Auf der anderen Seite,2007,7.8,Fatih Akin,Baki Davrak,Nurgül Yesilçay,Tuncel Kurtiz,Nursel Köse,30827
Atonement,2007,7.8,Joe Wright,Keira Knightley,James McAvoy,Brenda Blethyn,Saoirse Ronan,251370
Drive,2011,7.8,Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,571571
American Gangster,2007,7.8,Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Josh Brolin,392449
Avatar,2009,7.8,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,1118998
Mr. Nobody,2009,7.8,Jaco Van Dormael,Jared Leto,Sarah Polley,Diane Kruger,Linh Dan Pham,216421
Apocalypto,2006,7.8,Mel Gibson,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,Rudy Youngblood,291018
Little Miss Sunshine,2006,7.8,Jonathan Dayton,Valerie Faris,Steve Carell,Toni Collette,Greg Kinnear,439856
Hot Fuzz,2007,7.8,Edgar Wright,Simon Pegg,Nick Frost,Martin Freeman,Bill Nighy,463466
The Curious Case of Benjamin Button,2008,7.8,David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,Julia Ormond,589160
Veer-Zaara,2004,7.8,Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukerji,Kirron Kher,49050
Adams æbler,2005,7.8,Anders Thomas Jensen,Ulrich Thomsen,Mads Mikkelsen,Nicolas Bro,Paprika Steen,45717
Pride & Prejudice,2005,7.8,Joe Wright,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Donald Sutherland,258924
The World's Fastest Indian,2005,7.8,Roger Donaldson,Anthony Hopkins,Diane Ladd,Iain Rea,Tessa Mitchell,51980
Tôkyô goddofâzâzu,2003,7.8,Satoshi Kon,Shôgo Furuya,Tôru Emori,Yoshiaki Umegaki,Aya Okamoto,31658
Serenity,2005,7.8,Joss Whedon,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,Alan Tudyk,283310
Walk the Line,2005,7.8,James Mangold,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick,234207
Ondskan,2003,7.8,Mikael Håfström,Andreas Wilson,Henrik Lundström,Gustaf Skarsgård,Linda Zilliacus,35682
The Notebook,2004,7.8,Nick Cassavetes,Gena Rowlands,James Garner,Rachel McAdams,Ryan Gosling,520284
Diarios de motocicleta,2004,7.8,Walter Salles,Gael García Bernal,Rodrigo De la Serna,Mía Maestro,Mercedes Morán,96703
Lilja 4-ever,2002,7.8,Lukas Moodysson,Oksana Akinshina,Artyom Bogucharskiy,Pavel Ponomaryov,Lyubov Agapova,42673
Les triplettes de Belleville,2003,7.8,Sylvain Chomet,Michèle Caucheteux,Jean-Claude Donda,Michel Robin,Monica Viegas,50622
Gongdong gyeongbi guyeok JSA,2000,7.8,Chan-wook Park,Lee Yeong-ae,Lee Byung-Hun,Kang-ho Song,Kim Tae-Woo,26518
The Count of Monte Cristo,2002,7.8,Kevin Reynolds,Jim Caviezel,Guy Pearce,Christopher Adamson,JB Blanc,129022
Waking Life,2001,7.8,Richard Linklater,Ethan Hawke,Trevor Jack Brooks,Lorelei Linklater,Wiley Wiggins,60684
Remember the Titans,2000,7.8,Boaz Yakin,Denzel Washington,Will Patton,Wood Harris,Ryan Hurst,198089
Wo hu cang long,2000,7.8,Ang Lee,Yun-Fat Chow,Michelle Yeoh,Ziyi Zhang,Chen Chang,253228
Todo sobre mi madre,1999,7.8,Pedro Almodóvar,Cecilia Roth,Marisa Paredes,Candela Peña,Antonia San Juan,89058
Cast Away,2000,7.8,Robert Zemeckis,Tom Hanks,Helen Hunt,Paul Sanchez,Lari White,524235
The Boondock Saints,1999,7.8,Troy Duffy,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,David Della Rocco,227143
The Insider,1999,7.8,Michael Mann,Russell Crowe,Al Pacino,Christopher Plummer,Diane Venora,159886
October Sky,1999,7.8,Joe Johnston,Jake Gyllenhaal,Chris Cooper,Laura Dern,Chris Owen,82855
Shrek,2001,7.8,Andrew Adamson,Vicky Jenson,Mike Myers,Eddie Murphy,Cameron Diaz,613941
Titanic,1997,7.8,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,1046089
Hana-bi,1997,7.8,Takeshi Kitano,Takeshi Kitano,Kayoko Kishimoto,Ren Osugi,Susumu Terajima,27712
