Name,Website,Headquarters_country,Headquarters_address,CEO_name,Board,Supervisor,Supervisor_Website,Shareholder_source,Source,Latitude,Longitude
Bankinter,http://www.bankinter.com,Spain,"Paseo de la Castellana 29,28046 Madrid",María Dolores Dancausa Treviño,https://webcorporativa.bankinter.com/www2/corporativa/es/gobierno_corporativo/consejo_administracion/miembros_consejo,Banco de España,http://www.bde.es/homee.htm,https://www.marketscreener.com/quote/stock/BANKINTER-S-A-410428/company/,https://www.banktrack.org/bank/bankinter,40.4309218,-3.6896221
Banque Misr,http://www.banquemisr.com,Egypt,"151 Mohamed Farid St.,Cairo",Mohamed Mahmoud Eletreby,https://www.banquemisr.com/en/about-us/board-members?csrt=4937857629784372591,None,None,https://www.banquemisr.com/en/aboutus/Documents/Banque%20Profile/Corporate%20profile.pdf,https://www.banktrack.org/bank/banque_misr,30.0479921,31.2443272
Banque Populaire,https://www.groupebcp.com/EN,Morocco,"01, boulevard Mohamed Zerktouni – BP 10.622,20100 Casablanca",Mohamed Karim Mounir,https://www.groupebcp.com/EN/about-us/governance/management-committee,Bank Al-Maghrib,http://www.bkam.ma/,https://www.marketscreener.com/quote/stock/BANQUE-CENTRALE-POPULAIRE-6498628/company/,https://www.banktrack.org/bank/banque_populaire,33.5828927,-7.6164993
Barclays,http://www.barclays.com,United Kingdom,"1 Churchill Place E14 5HP London,London",C.S. Venkatakrishnan,https://home.barclays/who-we-are/structure-and-leadership/leadership/c-s-venkatakrishnan/,Bank of England,http://www.bankofengland.co.uk/,https://www.marketscreener.com/BARCLAYS-9583556/company/,https://www.banktrack.org/bank/barclays,51.5050431,-0.0144776
BayernLB,https://www.bayernlb.com/internet/en/blb/resp/index.jsp,Germany,"Brienner Straße 18,80333 München",Stephan Winkelmeier,https://www.bayernlb.com/internet/en/blb/resp/about_us/gremien_1/vorstand_7/vorstand.jsp,Bundesbank,http://www.bundesbank.de/,https://www.bayernlb.com/internet/en/blb/resp/about_us/who_we_are/kurzportrait_2/kurzportrait_1.jsp,https://www.banktrack.org/bank/bayernlb,48.1449075,11.5733041
Belfius,https://www.belfius.com/EN/index.aspx,Belgium,"Place Charles Rogier 11,1210 Brussels",Marc Raisière,https://www.belfius.com/EN/company-profile/who-we-are/management-staff/directors/marc-raisiere/index.aspx,Nationale Bank van België,http://www.nbb.be/pub/index.htm,https://www.sfpim.be/,https://www.banktrack.org/bank/belfius,50.8565062,4.3594062
CIBanco,http://www.cibanco.com,Mexico,"Paseo de las Palmas 215,Distrito Federal 110 Mexico City",Mario Maciel Castro,https://mx.linkedin.com/in/mario-maciel-0a105528?challengeId=AQEg9IkFdOzVrwAAAXVF2DmDJcbFv3MYerLOFPOAiU9Q_raFXklBAVBkqJGH8HQ7D2G79tDu1mdZc46XUCA5WB31kWmCsd-vZA&submissionId=cda3188a-feb0-3f16-2a74-2cfab660fc03,Banco de Mexico,http://www.banxico.org.mx/indexEn.html,http://www.cibanco.com/DOC/ESTADOSFINANCIEROS/CI%20BANCO%20CONSOLIDADO%202017.pdf,https://www.banktrack.org/bank/cibanco,19.4309178,-99.2098939
CIFI,https://www.cifi.com/2020/en/,Panama,"MMG Tower, Costa del Este, 13th floor Office 13ª, Roberto Motta Avenue,Panama City",Cesar Cañedo Arguelles,https://www.cifi.com/en/corporate-governance/,Superintendency of Banks of Panama,https://www.superbancos.gob.pa/en,https://www.cifi.com/en/who-we-are/,https://www.banktrack.org/bank/cifi,9.0164468,-79.46351609999999
CIMB Group,http://www.cimb.com,Malaysia,"Jalan Raja Laut,50350   Kuala Lumpur",Dato' Abdul Rahman Ahmad,https://www.cimb.com/en/who-we-are/leadership/board-of-directors/cimb-group/dato-abdul-rahman-ahmad.html,Central Bank of Malaysia,https://www.bnm.gov.my/index.php?ch=fs&pg=fs_spv&ac=396,https://www.cimb.com/en/investor-relations/shareholding-information.html,https://www.banktrack.org/bank/cimb,3.1623577,101.6956965
CTBC Bank,https://www.ctbcbank.com,"Taiwan, Republic of China","27F, 29F., No. 168, Jingmao 2nd Rd. Nangang Dist.,115 Taipei City",Larry Hsu,https://www.ctbcbank.com/twrbo/en_tw/index_en.html,Central Bank of the Republic of China (Taiwan) ,http://www.cbc.gov.tw,http://ir.ctbcholding.com/html/shareholder_structure.php,https://www.banktrack.org/bank/ctbc_bank,25.0588828,121.6154127
Caixa Econômica Federal,https://www.caixa.gov.br/Paginas/home-caixa.aspx,Brazil,"SBS Quadra 4 Lotes 3 E 4 Edificio Sede 21,Brasilia",Rita Serrano,https://ri.caixa.gov.br/en/corporate-governance/board-and-executive-management/,Banco Central do Brasil,http://www.bcb.gov.br/?english,None,https://www.banktrack.org/bank/caixa_economica_federal,-15.8031874,-47.8837315
CaixaBank,http://www.caixabank.com,Spain,"Avda Diagonal 621-629,08028 Barcelona",Mr. Gonzalo Gortázar Rotaeche,https://www.caixabank.com/en/shareholders-investors/corporate-governance/board-directors.html,Banco de España,http://www.bde.es/homee.htm,https://www.criteriacaixa.com/home/home_en.html,https://www.banktrack.org/bank/CaixaBank,41.3876195,2.1266636
CIBC,https://www.cibc.com/en/,Canada,"Commerce Court,M5L 1A2 Toronto",Victor G. Dodig,https://www.cibc.com/en/about-cibc/corporate-profile/executive-team/victor-dodig.html,Bank of Canada,http://www.bank-banque-canada.ca/en,https://money.cnn.com/quote/shareholders/shareholders.html?symb=CM&subView=institutional,https://www.banktrack.org/bank/cibc,43.6481326,-79.37950889999999
Cathay United Bank,http://www.cathaybk.com.tw,"Taiwan, Republic of China","1F no 7, Songren Road 110,Taipei City",Andrew Ming-Jian Kuo,https://www.cathaybk.com.tw/en-us/cathaybk/english/about-us/about-us/corporate-governance/,Central Bank of the Republic of China (Taiwan) ,http://www.cbc.gov.tw,https://www.marketscreener.com/CATHAY-FINANCIAL-HOLDING-6492306/company/,https://www.banktrack.org/bank/cathay_united_bank,25.0382648,121.5691703
China CITIC Bank,http://www.citicbank.com,China,"Fuhua Mansion Block C, No. 8 Choayangmen Beidajie, Dongcheng District,100027 Beijing",Fang Heying,http://www.citicbank.com/about/survey_1/about_SeniorManagement/,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/CHINA-CITIC-BANK-CORPORAT-6499609/company/,https://www.banktrack.org/bank/china_citic_bank,39.9515199,116.40108
