New_project;Carbon_Bomb_Name;Country;Potential_GtCO2;Fuel_type;GEM_ID;GEM_source;Latitude;Longitude;Operators;Owners;Parent_Company;Multiple_unit_concerned
False;Gaotouyao Coal Mine;China;1.870537152;Coal;M0222;https://www.gem.wiki/Gaotouyao_Coal_Mine;40.019808;109.639961;Inner Mongolia Beilian Power and Energy Development Company;China Huaneng (77%), Guangdong Hengjian Investment Holding Company (7%), National Energy Investment Group (4%), Others (12%);China Huaneng (77%), Guangdong Hengjian Investment Holding Company (7%), China Energy (4%), Others (12%);
False;Shanxi Lu'an Gucheng Coal Mine;China;1.811350662;Coal;M0331;https://www.gem.wiki/Shanxi_Lu'an_Gucheng_mine;36.25626;112.918649;Shanxi Lu'an Mining Group;Lu'an Chemical Group;Lu'an Chemical Group;
False;Hanglaiwan Coal Mine;China;1.780964196;Coal;M0232;https://www.gem.wiki/Hanglaiwan_Coal_Mine;38.530798;109.871886;Shaanxi Youse Yulin Coal Industry Company;Shaanxi Youser Group (63%), Shaanxi Yanchang Petroleum Group (38%);Shaanxi Youser Group (63%), Shaanxi Yanchang Petroleum Group (38%);
False;Xiaojiawa Coal Mine;China;1.769273339;Coal;M0384;https://www.gem.wiki/Xiaojiawa_mine;38.394821;111.143913;Shanxi Jinxing Energy Company;China Huadian (51%), Shanxi Tangrong Investment Company (24.5%), Shanxi Dubao New Energy Group (24.5%);China Huadian (51%), Shanxi Tangrong Investment Company (24.5%), Shanxi Dubao New Energy Group (24.5%);
False;Wangjiata Coal Mine;China;1.61328948;Coal;M0367;https://www.gem.wiki/Wangjiata_coal_mine;39.676306;110.001415;Xin Neng Ming Company;Xin’ao Holding Investment Company (31%), Hongchuang (Shenzhen) Investment Center (10%), Langfang Heyuan Investment Center (8%), Hebei Weiyuan Group (7%), Others (44%);Xin’ao Holding Investment Company (31%), Hongchuang (Shenzhen) Investment Center (10%), Langfang Heyuan Investment Center (8%), Hebei Weiyuan Group (7%), Others (44%);
False;Huangling No.2 Coal Mine;China;1.36189944;Coal;M0252;https://www.gem.wiki/Huangling_No.2_Coal_Mine;35.661062;108.91871;Shaanxi Huangling No.2 Coal Mine Company;Shaanxi Coal and Chemical Industry Group (34%), Jiangsu Yueda Group (45%), Industrial and Commercial Bank of China (21%);Shaanxi Coal and Chemical Industry Group (34%), Jiangsu Yueda Group (45%), Industrial and Commercial Bank of China (21%);
False;Dafosi Coal Mine;China;1.360020116;Coal;M0199;https://www.gem.wiki/Dafosi_Coal_Mine;35.062428;107.960069;Shaanxi Bingchang Dafosi Mining Company;Shaanxi Coal and Chemical Industry Group (56.8%), Binxian Coal Company (5%), Shaanxi Investment Group (5%), Others (33%);Shaanxi Coal and Chemical Industry Group (56.8%), Binxian Coal Company (5%), Shaanxi Investment Group (5%), Others (33%);
False;Zaoquan Coal Mine;China;1.05925512;Coal;M0424;https://www.gem.wiki/Zaoquan_Coal_Mine;37.926904;106.53365;China Energy Group Ningxia Coal Industry Co;National Energy Investment Group (51%), Ningxia State-Owned Capital Operation Group (49%);China Energy (51%), Ningxia State-Owned Capital Operation Group (49%);
False;Yangquan No.1 Coal Mine;China;1.210995054;Coal;M0405;https://www.gem.wiki/Yangquan_No.1_Coal_Mine;37.907856;113.517665;Yangquan Coal Industry Group;Yangquan Coal Industry Group;Huayang New Material Technology Group;
False;Sandaogou Coal Mine;China;2.262266292;Coal;M1191;https://www.gem.wiki/Fugu_Sandaogou_Coal_Mine;39.218384;110.774205;Shaanxi Deyuan Fugu Energy Company;National Energy Investment Group (70%), Shaanxi Coal and Chemical Industry Group (30%);China Energy (70%), Shaanxi Coal and Chemical Industry Group (30%);
False;Guqiao Coal Mine;China;2.029181352;Coal;M0229;https://www.gem.wiki/Guqiao_Coal_Mine;32.821408;116.545709;Huainan Mining Group;Huaihe Energy Holding Group (83%), China Cinda Asset Management Company (8%), National Energy Investment Group (3%), Others (6%);Huaihe Energy (83%), China Cinda Asset Management (8%), China Energy (3%), Others (6%);
False;Sihe Coal Mine;China;1.00522563;Coal;M2137;https://www.gem.wiki/Sihe_No.2_Coal_Mine;35.533277;112.651247;Jinneng Holding Equipment Manufacturing Group;Jinneng Holding Group;Jinneng Group (70.06%), China Development Bank（10.29%），China Cinda Asset Management Company (13.65%);
False;Dananhu No.1 Coal Mine;China;7.16583648;Coal;M0204;https://www.gem.wiki/Dananhu_No.1_Coal_Mine;42.382334;93.018391;State Grid Corporation of China Hami Coal & Energy Company;National Energy Investment Group;China Energy;
False;Xiaojihan Coal Mine;China;4.62142758;Coal;M0385;https://www.gem.wiki/Xiaojihan_mine;38.4378;109.5059;Shaanxi Huadian Yuheng Coal & Electricity Company;China Huadian (79%), Yuling Mining Group (16%), Yulin Yuyang District Energy Investment Company (5%);China Huadian (79%), Yuling Mining Group (16%), Yulin Yuyang District Energy Investment Company (5%);
False;Shengli East No.2 Coal Mine;China;4.5936618;Coal;M0336;https://www.gem.wiki/Shengli_East_No.2_open-pit_mine;44.06697;116.22348;Inner Mongolia Datang International Xilinhaote Mining Company;China Datang (35.34%), HKSCC NOMINEES LIMITED (32.9%), Tianjin Energy Investment Group (7%), Hebei Construction & Investment Group(6.93%), Beijing Energy Group (6.81%), Others(3.27%);China Datang (35.34%), HKSCC Nominees Limited (32.9%), Tianjin Energy Investment Group (7%), Hebei Construction & Investment Group(6.93%), Beijing Energy Group (6.81%), Others(3.27%);
